Source,Target,Type,Id,Label,timeset,Weight,pn
ASV0151,ASV1023,Undirected,142,NA,NA,1.959276,p
ASV0151,ASV1218,Undirected,143,NA,NA,1.818328,p
ASV0151,ASV1264,Undirected,144,NA,NA,1.818328,p
ASV0151,ASV1276,Undirected,145,NA,NA,1.618954,p
ASV0151,ASV1297,Undirected,146,NA,NA,1.985286,p
ASV0151,ASV1298,Undirected,147,NA,NA,1.973967,p
ASV0151,ASV1321,Undirected,148,NA,NA,1.985286,p
ASV0151,ASV1548,Undirected,149,NA,NA,1.977376,p
ASV0151,ASV1596,Undirected,150,NA,NA,1.707021,p
ASV0151,ASV1718,Undirected,151,NA,NA,1.985286,p
ASV0151,ASV1754,Undirected,152,NA,NA,1.810044,p
ASV0151,ASV1830,Undirected,153,NA,NA,1.973967,p
ASV0151,ASV1907,Undirected,154,NA,NA,1.691003,p
ASV0151,ASV1927,Undirected,155,NA,NA,1.99095,p
ASV0151,ASV1937,Undirected,156,NA,NA,2,p
ASV0151,ASV1967,Undirected,157,NA,NA,1.681318,p
ASV0151,ASV1980,Undirected,158,NA,NA,1.687818,p
ASV0151,ASV2031,Undirected,159,NA,NA,1.804686,p
ASV0151,ASV2064,Undirected,160,NA,NA,1.688366,p
ASV0151,ASV2068,Undirected,161,NA,NA,1.995475,p
ASV0151,ASV2120,Undirected,162,NA,NA,1.958121,p
ASV0151,ASV2151,Undirected,163,NA,NA,1.971704,p
ASV0155,ASV0442,Undirected,164,NA,NA,1.794472,p
ASV0155,ASV1596,Undirected,165,NA,NA,1.713968,p
ASV0155,ASV1861,Undirected,166,NA,NA,1.649076,p
ASV0155,ASV2082,Undirected,167,NA,NA,1.702235,p
ASV0173,ASV1942,Undirected,168,NA,NA,2,p
ASV0179,ASV0535,Undirected,169,NA,NA,2,p
ASV0179,ASV0668,Undirected,170,NA,NA,1.991736,p
ASV0187,ASV1149,Undirected,171,NA,NA,1.832214,p
ASV0201,ASV0309,Undirected,173,NA,NA,1.793476,p
ASV0201,ASV0360,Undirected,174,NA,NA,1.986425,p
ASV0201,ASV0413,Undirected,175,NA,NA,1.954751,p
ASV0201,ASV0415,Undirected,176,NA,NA,1.973967,p
ASV0201,ASV0491,Undirected,177,NA,NA,1.994341,p
ASV0201,ASV0521,Undirected,178,NA,NA,1.772081,p
ASV0201,ASV0523,Undirected,179,NA,NA,1.958121,p
ASV0201,ASV0777,Undirected,180,NA,NA,1.959276,p
ASV0201,ASV0804,Undirected,181,NA,NA,1.610376,p
ASV0201,ASV0829,Undirected,182,NA,NA,1.962649,p
ASV0201,ASV0857,Undirected,183,NA,NA,1.986425,p
ASV0201,ASV0873,Undirected,184,NA,NA,1.959276,p
ASV0201,ASV1023,Undirected,185,NA,NA,1.986425,p
ASV0201,ASV1218,Undirected,186,NA,NA,1.805902,p
ASV0201,ASV1264,Undirected,187,NA,NA,1.826612,p
ASV0201,ASV1297,Undirected,188,NA,NA,1.958121,p
ASV0201,ASV1298,Undirected,189,NA,NA,1.958121,p
ASV0201,ASV1321,Undirected,190,NA,NA,1.992077,p
ASV0201,ASV1548,Undirected,191,NA,NA,2,p
ASV0201,ASV1596,Undirected,192,NA,NA,1.703151,p
ASV0201,ASV1718,Undirected,193,NA,NA,1.980759,p
ASV0201,ASV1754,Undirected,194,NA,NA,1.830754,p
ASV0201,ASV1830,Undirected,195,NA,NA,1.958121,p
ASV0201,ASV1907,Undirected,196,NA,NA,1.698751,p
ASV0201,ASV1927,Undirected,197,NA,NA,1.959276,p
ASV0201,ASV1937,Undirected,198,NA,NA,1.977376,p
ASV0201,ASV1967,Undirected,199,NA,NA,1.679381,p
ASV0201,ASV2031,Undirected,200,NA,NA,1.79847,p
ASV0201,ASV2064,Undirected,201,NA,NA,1.674813,p
ASV0201,ASV2068,Undirected,202,NA,NA,1.99095,p
ASV0201,ASV2103,Undirected,203,NA,NA,1.60794,p
ASV0201,ASV2120,Undirected,204,NA,NA,1.971704,p
ASV0201,ASV2151,Undirected,205,NA,NA,1.976231,p
ASV0202,ASV0204,Undirected,209,NA,NA,1.994236,p
ASV0202,ASV0242,Undirected,210,NA,NA,1.618214,p
ASV0202,ASV0257,Undirected,211,NA,NA,1.994236,p
