	HLIR65E1	HLIR65E2	HLIR65N2	HLNR32E1	HLNR32E2	HLNR57E1	HLNR57E2	HLNR57N1	HLNR57N2	HLSR32E1	HLSR32E2	HLSR60E1	HLSR60E2	HLSR60N1	HLSR60N2	SLA32L1	SLA32L2	SRA32L1	SRA32L2	SRA7L2	HLA90Hi	HLA90Lo	HRA90Lo
ASV0110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0111	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0112	0	0	0	0	0	0	0	0	0	53	26	0	0	0	0	0	0	0	0	0	0	0	0
ASV0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0115	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV0116	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	89	0	0	0	20
ASV0118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV0119	0	0	0	0	0	0	0	0	0	1	2	3	3	0	0	0	0	0	0	0	0	0	0
ASV0120	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ASV0121	3	4	0	1	0	0	0	5	4	1	1	1	6	0	0	1	2	0	0	0	1	3	0
ASV0122	2	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	1	0	0	0	0	0	0
ASV0123	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV0124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
ASV0125	1	0	2	0	0	1	1	1	0	72	108	10	7	0	1	0	0	0	0	0	0	0	0
ASV0126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	1	0
ASV0128	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV0129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV0130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0131	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0132	4	7	0	0	0	0	0	0	0	0	0	13	10	11	25	0	0	0	0	0	0	0	0
ASV0133	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
ASV0134	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV0135	0	0	0	0	0	0	0	0	0	4	2	0	1	0	0	0	0	0	0	0	0	0	0
